Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-31 00:00:00+09:00,650.75,650.75,647.38,650.49,524600,0.0,0.0
2015-04-01 00:00:00+09:00,650.27,651.4,645.63,650.23,513300,0.0,0.0
2015-04-02 00:00:00+09:00,653.41,654.85,649.23,650.57,629900,0.0,0.0
2015-04-03 00:00:00+09:00,653.46,658.05,652.59,658.04,528700,0.0,0.0
2015-04-06 00:00:00+09:00,660.85,662.59,658.99,662.15,523500,0.0,0.0
2015-04-07 00:00:00+09:00,667.62,667.94,664.64,666.83,550000,0.0,0.0
2015-04-08 00:00:00+09:00,669.37,669.37,662.57,668.03,560700,0.0,0.0
2015-04-09 00:00:00+09:00,671.6,677.99,670.83,676.96,595100,0.0,0.0
2015-04-10 00:00:00+09:00,684.24,685.66,682.02,682.02,602400,0.0,0.0
2015-04-13 00:00:00+09:00,688.17,689.54,682.72,689.39,709300,0.0,0.0
2015-04-14 00:00:00+09:00,691.82,694.9,680.53,684.97,829000,0.0,0.0
2015-04-15 00:00:00+09:00,689.66,694.96,688.69,694.44,619800,0.0,0.0
2015-04-16 00:00:00+09:00,699.32,699.32,692.27,698.31,698700,0.0,0.0
2015-04-17 00:00:00+09:00,703.45,708.23,700.18,706.9,685600,0.0,0.0
2015-04-20 00:00:00+09:00,700.8,707.52,700.48,706.96,667400,0.0,0.0
2015-04-21 00:00:00+09:00,712.89,714.74,709.88,714.52,747100,0.0,0.0
2015-04-22 00:00:00+09:00,718.89,720.56,675.95,703.34,1086800,0.0,0.0
2015-04-23 00:00:00+09:00,707.82,708.06,685.99,692.48,705400,0.0,0.0
2015-04-24 00:00:00+09:00,695.12,697.16,681.04,690.74,610900,0.0,0.0
2015-04-27 00:00:00+09:00,693.79,699.55,692.84,699.39,516100,0.0,0.0
2015-04-28 00:00:00+09:00,701.36,701.57,694.3,696.79,600300,0.0,0.0
2015-04-29 00:00:00+09:00,699.51,699.66,689.09,695.69,558800,0.0,0.0
2015-04-30 00:00:00+09:00,696.31,696.31,685.15,689.01,584900,0.0,0.0
2015-05-04 00:00:00+09:00,690.77,690.84,676.42,677.9,440500,0.0,0.0
2015-05-06 00:00:00+09:00,672.95,674.22,661.82,665.94,486100,0.0,0.0
2015-05-07 00:00:00+09:00,667.01,673.12,654.01,673.08,473800,0.0,0.0
2015-05-08 00:00:00+09:00,675.83,684.38,674.64,681.69,439100,0.0,0.0
2015-05-11 00:00:00+09:00,687.81,692.32,685.61,692.29,433500,0.0,0.0
2015-05-12 00:00:00+09:00,694.8,697.99,685.89,686.74,546400,0.0,0.0
2015-05-13 00:00:00+09:00,687.75,693.3,681.3,692.23,522100,0.0,0.0
2015-05-14 00:00:00+09:00,695.11,699.34,693.43,699.27,529700,0.0,0.0
2015-05-15 00:00:00+09:00,705.15,708.08,702.79,705.4,517500,0.0,0.0
2015-05-18 00:00:00+09:00,707.73,707.73,700.18,703.25,599800,0.0,0.0
2015-05-19 00:00:00+09:00,707.26,707.35,704.62,706.79,530800,0.0,0.0
2015-05-20 00:00:00+09:00,709.71,714.09,709.68,713.95,601700,0.0,0.0
2015-05-21 00:00:00+09:00,718.98,719.27,708.55,715.64,522500,0.0,0.0
2015-05-22 00:00:00+09:00,718.99,719.02,711.58,713.54,546900,0.0,0.0
2015-05-26 00:00:00+09:00,715.91,715.91,705.0,708.66,457400,0.0,0.0
2015-05-27 00:00:00+09:00,705.7,705.7,696.08,699.19,475900,0.0,0.0
2015-05-28 00:00:00+09:00,706.47,711.21,704.62,709.01,484600,0.0,0.0
2015-05-29 00:00:00+09:00,710.62,717.2,710.5,711.39,549300,0.0,0.0
2015-06-01 00:00:00+09:00,714.09,715.91,700.9,715.73,578500,0.0,0.0
2015-06-02 00:00:00+09:00,718.0,718.58,704.77,704.77,611100,0.0,0.0
2015-06-03 00:00:00+09:00,703.5,710.97,693.27,696.97,693100,0.0,0.0
2015-06-04 00:00:00+09:00,702.13,704.57,700.61,704.56,580100,0.0,0.0
2015-06-05 00:00:00+09:00,701.28,708.23,700.91,707.27,557600,0.0,0.0
2015-06-08 00:00:00+09:00,711.36,716.61,708.36,716.43,496400,0.0,0.0
2015-06-09 00:00:00+09:00,718.32,722.52,718.1,722.51,506600,0.0,0.0
2015-06-10 00:00:00+09:00,726.63,727.34,713.07,718.23,563300,0.0,0.0
2015-06-11 00:00:00+09:00,724.38,724.57,716.45,717.0,505700,0.0,0.0
2015-06-12 00:00:00+09:00,720.09,722.4,708.23,712.4,480000,0.0,0.0
2015-06-15 00:00:00+09:00,709.71,714.92,704.95,705.85,413200,0.0,0.0
2015-06-16 00:00:00+09:00,706.84,708.73,690.8,706.28,519300,0.0,0.0
2015-06-17 00:00:00+09:00,710.54,718.63,705.62,718.61,476400,0.0,0.0
2015-06-18 00:00:00+09:00,724.43,726.84,722.6,725.2,547600,0.0,0.0
2015-06-19 00:00:00+09:00,730.92,731.06,723.07,729.92,540700,0.0,0.0
2015-06-22 00:00:00+09:00,735.12,736.42,731.46,734.61,527600,0.0,0.0
2015-06-23 00:00:00+09:00,740.57,740.87,735.95,739.82,547800,0.0,0.0
2015-06-24 00:00:00+09:00,743.17,747.08,740.65,746.62,507100,0.0,0.0
2015-06-25 00:00:00+09:00,747.71,753.99,746.23,753.66,540100,0.0,0.0
2015-06-26 00:00:00+09:00,756.46,757.98,750.48,750.5,605500,0.0,0.0
2015-06-29 00:00:00+09:00,733.07,746.62,731.84,733.04,477300,0.0,0.0
2015-06-30 00:00:00+09:00,730.29,742.34,714.51,742.27,463300,0.0,0.0
2015-07-01 00:00:00+09:00,747.48,760.76,747.48,760.67,561500,0.0,0.0
2015-07-02 00:00:00+09:00,766.58,769.76,764.97,768.67,716900,0.0,0.0
2015-07-03 00:00:00+09:00,772.67,772.72,762.23,769.26,671900,0.0,0.0
2015-07-06 00:00:00+09:00,758.0,769.33,752.01,752.01,640800,0.0,0.0
2015-07-07 00:00:00+09:00,765.12,765.39,722.21,729.64,761100,0.0,0.0
2015-07-08 00:00:00+09:00,735.46,738.23,714.86,726.22,649000,0.0,0.0
2015-07-09 00:00:00+09:00,715.76,726.43,695.94,726.01,654800,0.0,0.0
2015-07-10 00:00:00+09:00,734.16,739.1,725.4,730.72,549100,0.0,0.0
2015-07-13 00:00:00+09:00,732.78,749.53,731.91,749.46,552700,0.0,0.0
2015-07-14 00:00:00+09:00,757.72,758.19,750.91,757.12,593400,0.0,0.0
2015-07-15 00:00:00+09:00,761.73,762.8,757.71,761.59,679900,0.0,0.0
